FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
32,50441,Character Education,204,Connect with Kids,None,280,Middle/high school student survey: Part 1,Behavior,,Grades 7-12,False,22,11,11,11,11,3.84,3.37,0.79,0.68,0.61,0.613457515550211,23,,0.167263949185478,,,False,,,Student,
34,50135,Character Education,103,Caring School Community (CSC),unknown,282,Negative behavior,Behavior,,Grades K–4,False,350,175,175,3,3,51.33,48.36,10,10,0.29,0.296359453630482,11,,0.00705911507977519,,,True,,,Student,
35,50135,Character Education,103,Caring School Community (CSC),unknown,297,Spontaneous prosocial behavior,Behavior,,Grades K–4,False,350,175,175,3,3,53.36,45.85,10,10,0.74,0.749380301941049,27,,2.70490296827575E-11,,,True,,,Student,
36,50135,Character Education,103,Caring School Community (CSC),unknown,272,Harmoniousness,Behavior,,Grades K–4,False,350,175,175,3,3,50.43,49.47,10,10,0.09,0.0957929547088426,4,,0.400529693175954,,,False,,,Student,
37,50135,Character Education,103,Caring School Community (CSC),unknown,303,"Supportive, friendly, and helpful behavior",Behavior,,Grades K–4,False,350,175,175,3,3,52.35,47.11,10,10,0.52,0.522869877785766,20,,1.8588721609758E-06,,,True,,,Student,
38,50135,Character Education,103,Caring School Community (CSC),unknown,296,Social competence,Behavior,,Grade 4,False,295,149,146,3,3,1.66,1.62,0.46,0.47,0.09,0.0858056122904258,4,,0.44022588645672,,,False,,,Student,
40,50390,Character Education,187,Lessons in Character,unknown,580,Moral development,"Knowledge, attitudes, & values",ANCOVA,Grade 5,False,61,31,30,9,6,2.2,2.17,0.29,0.27,0.11,0.105643833564102,4,,0.669093510217573,,,False,,,Student,
41,50142,Character Education,103,Caring School Community (CSC),None,250,Altruistic behavior,Behavior,,Grade 3-6,False,1986,1086,900,5,5,0.04,-0.03,0.63,0.66,0.11,0.108693884668358,4,,0.0152546267811675,,,False,,,Student,
42,50142,Character Education,103,Caring School Community (CSC),None,312,Use of alcohol,Behavior,,Grade 5-6,False,635,345,290,5,5,0.27,0.29,0.39,0.4,0.05,0.050624546,2,,0.530735130667511,,,False,,,Student,
43,50142,Character Education,103,Caring School Community (CSC),None,314,Use of marijuana,Behavior,,Grade 5-6,False,635,345,290,5,5,0.04,0.07,0.22,0.28,0.12,0.120246371,5,,0.1330499818734,,,False,,,Student,
44,50142,Character Education,103,Caring School Community (CSC),None,313,Use of cigarettes,Behavior,,Grade 5-6,False,635,345,290,,,0.13,0.12,0.3,0.32,-0.03,-0.032293625,-1,,0.706761170645008,,,False,,,Student,
45,50142,Character Education,103,Caring School Community (CSC),None,292,Run away from home,Behavior,,Grade 5-6,False,635,345,290,5,5,0.09,0.1,0.3,0.34,0.03,0.031322068,1,,0.706761170645008,,,False,,,Student,
46,50142,Character Education,103,Caring School Community (CSC),None,295,Skipped school,Behavior,,Grade 5-6,False,635,345,290,5,5,0.16,0.15,0.38,0.37,-0.03,-0.026601896,-1,,0.706761170645008,,,False,,,Student,
47,50142,Character Education,103,Caring School Community (CSC),None,265,Damaged property on purpose,Behavior,,Grade 5-6,False,635,345,290,5,5,0.23,0.27,0.45,0.45,0.09,0.088783529,4,,0.259503944700414,,,False,,,Student,
48,50142,Character Education,103,Caring School Community (CSC),None,298,Stolen money or property,Behavior,,Grades 5–6,False,635,345,290,5,5,0.26,0.25,0.43,0.45,-0.02,-0.022739399,-1,,0.801951132847878,,,False,,,Student,
49,50142,Character Education,103,Caring School Community (CSC),None,260,"Carried a knife, gun, or other weapon",Behavior,,Grades 5–6,False,635,345,290,5,5,0.24,0.23,0.49,0.45,-0.02,-0.021154232,-1,,0.801951132847878,,,False,,,Student,
50,50142,Character Education,103,Caring School Community (CSC),None,308,Threatened to hurt someone,Behavior,,Grades 5–6,False,635,345,290,5,5,0.45,0.43,0.56,0.57,-0.04,-0.035382102,-2,,0.615972437769533,,,False,,,Student,
51,50142,Character Education,103,Caring School Community (CSC),None,273,Hurt someone on purpose,Behavior,,Grades 5–6,False,635,345,290,5,5,0.4,0.37,0.54,0.55,-0.06,-0.055022186,-2,,0.45195929563382,,,False,,,Student,
52,50142,Character Education,103,Caring School Community (CSC),None,306,Taken a car without permission,Behavior,,Grades 5–6,False,635,345,290,5,5,0.03,0.09,0.21,0.34,0.22,0.216328948,9,,0.0061084343092348,,,True,,,Student,
53,50142,Character Education,103,Caring School Community (CSC),None,254,Been in a gang fight,Behavior,,Grades 5–6,False,635,345,290,5,5,0.1,0.14,0.35,0.4,0.11,0.106922664,4,,0.168384283058664,,,False,,,Student,
54,50142,Character Education,103,Caring School Community (CSC),None,309,Thrown objects at people,Behavior,,Grades 5–6,False,635,345,290,5,5,0.22,0.23,0.44,0.47,0.02,0.0220031,1,,0.801951132847878,,,False,,,Student,
55,50142,Character Education,103,Caring School Community (CSC),None,255,Been made fun of or called names,Behavior,,Grades 5–6,False,635,345,290,5,5,0.98,0.99,0.54,0.57,0.02,0.018032457,1,,0.801951132847878,,,False,,,Student,
56,50142,Character Education,103,Caring School Community (CSC),None,270,Had property damaged on purpose on purpose,Behavior,,Grades 5–6,False,635,345,290,5,5,0.44,0.56,0.52,0.56,0.22,0.222523009,9,,0.0061084343092348,,,True,,,Student,
57,50142,Character Education,103,Caring School Community (CSC),None,271,Had property stolen from desk,Behavior,,Grades 5–6,False,635,345,290,5,5,0.49,0.67,0.54,0.61,0.31,0.313752425,12,,0.000122929181452958,,,True,,,Student,
58,50142,Character Education,103,Caring School Community (CSC),None,269,Had money or property taken by force or threat taken by force or threat,Behavior,,Grades 5–6,False,635,345,290,5,5,0.17,0.22,0.4,0.49,0.11,0.112640911,4,,0.168384283058664,,,False,,,Student,
59,50142,Character Education,103,Caring School Community (CSC),None,257,Been threatened with harm,Behavior,,Grades 5–6,False,635,345,290,5,5,0.45,0.47,0.55,0.57,0.04,0.035721717,2,,0.615972437769533,,,False,,,Student,
60,50142,Character Education,103,Caring School Community (CSC),None,256,Been physically attacked,Behavior,,Grades 5–6,False,635,345,290,5,5,0.28,0.34,0.47,0.53,0.12,0.120268977,5,,0.1330499818734,,,False,,,Student,
62,50391,Character Education,187,Lessons in Character,business as usual,263,Citizenship grades,Behavior,,Grade 4,False,140,70,70,2,2,0.12,0.06,0.32,0.23,0.21,0.214145760011074,8,,0.216189505700654,,,False,,,Student,
63,50391,Character Education,187,Lessons in Character,business as usual,620,Student respect,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,3.3,3.11,,,0.13,,5,,0.214766903365002,,,False,,,Student,
64,50391,Character Education,187,Lessons in Character,business as usual,567,Friendship and belonging,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,3.22,2.97,,,0.18,,7,,0.0862189514301464,,,False,,,Student,
65,50391,Character Education,187,Lessons in Character,business as usual,609,Shaping the environment,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,3.04,2.7,,,0.24,,9,,0.0224158096701329,,,True,,,Student,
66,50391,Character Education,187,Lessons in Character,business as usual,622,Support and care by teachers and staff,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,4.11,3.7,,,0.3,,12,,0.00441123605953209,,,True,,,Student,
68,50135,Character Education,103,Caring School Community (CSC),unknown,556,Democratic values,"Knowledge, attitudes, & values",,Grade 4,False,294,149,145,3,3,3.31,3.12,0.37,0.45,0.46,0.460649397828583,18,,0.000100599373311527,,,True,,,Student,
69,50135,Character Education,103,Caring School Community (CSC),unknown,597,Perceptual benevolence,"Knowledge, attitudes, & values",,Grade 3: Cohort 1,False,256,166,90,3,3,1.79,1.75,0.19,0.24,0.17,0.190925797162751,7,,0.195224794724176,,,False,,,Student,
70,50135,Character Education,103,Caring School Community (CSC),unknown,558,Empathy,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,256,166,90,3,3,1.69,1.67,0.47,0.56,,0.0396147589715478,2,,0.762418373557563,,,False,,,Student,
71,50135,Character Education,103,Caring School Community (CSC),unknown,553,Concern for others,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,294,149,145,3,3,2.01,2.06,1.3,1.23,,-0.039394085341736,-2,,0.735829078050563,,,False,,,Student,
72,50135,Character Education,103,Caring School Community (CSC),unknown,552,Concern for equality,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,294,149,145,3,3,3.19,2.92,1.19,1.36,,0.210944382065794,8,,0.0715843575459174,,,False,,,Student,
73,50135,Character Education,103,Caring School Community (CSC),unknown,583,Motive to help others learn,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,294,149,145,3,3,2.62,2.64,0.92,0.92,,-0.0216832457807086,-1,,0.852669128733229,,,False,,,Student,
74,50135,Character Education,103,Caring School Community (CSC),unknown,615,Social understanding,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,317,162,155,3,3,2.99,2.93,0.42,0.38,0.15,0.149290497175434,6,,0.182884782037679,,,False,,,Student,
75,50135,Character Education,103,Caring School Community (CSC),unknown,612,Social problem solving interview,"Knowledge, attitudes, & values",,Grade 1: Cohort 2,False,295,162,133,3,3,2.21,2.11,,,0.14,,6,,0.2324787426441,,,False,,,Student,
76,50135,Character Education,103,Caring School Community (CSC),unknown,554,Conflict resolution interview,"Knowledge, attitudes, & values",,Kindergarten: Cohort 2,False,318,185,133,3,3,1.24,1.08,,,0.18,,7,,0.114400527058904,,,False,,,Student,
77,50135,Character Education,103,Caring School Community (CSC),unknown,612,Social problem solving interview,"Knowledge, attitudes, & values",,Grades 1 and 3: Cohort 1,False,191,99,92,3,3,2.58,2.44,,,0.27,,11,,0.0637961071023047,,,False,,,Student,
78,50135,Character Education,103,Caring School Community (CSC),unknown,554,Conflict resolution interview,"Knowledge, attitudes, & values",,Grades K; 2; and 4: Cohort 1,False,133,61,72,3,3,1.36,1.16,,,0.43,,17,,0.0147475373552807,,,True,,,Student,
79,50135,Character Education,103,Caring School Community (CSC),unknown,623,Total self-esteem,"Knowledge, attitudes, & values",,Grade 4: Cohort 1,False,294,149,145,,,2.35,2.4,0.8,0.89,-0.06,-0.058978892280243,-2,,0.607398366211028,,,False,,,Student,
80,50135,Character Education,103,Caring School Community (CSC),unknown,607,Sense of community,"Knowledge, attitudes, & values",,Grade 4,False,294,149,145,3,3,1.54,1.53,0.34,0.38,0.39,0.0276847237755978,15,,0.000935675753258813,,,True,,,Student,
82,50391,Character Education,187,Lessons in Character,business as usual,84,Reading grades,Academic achievement,,Grade 4,False,140,70,70,2,2,2.95,2.66,0.88,0.99,0.31,0.307939406979959,12,,0.0687949541634993,,,False,,,Student,
83,50391,Character Education,187,Lessons in Character,business as usual,64,Mathematics grades,Academic achievement,,Grade 4,False,140,70,70,2,2,2.95,2.56,0.84,0.86,0.46,0.456293821338168,18,,0.00733254472895795,,,True,,,Student,
84,50391,Character Education,187,Lessons in Character,business as usual,10,Attendance (absences),Academic achievement,,Grade 4,False,140,70,70,2,2,1.46,2.59,1.93,2.72,0.48,0.47654682,18,,0.00519365403193151,,,True,,,Student,
86,50142,Character Education,103,Caring School Community (CSC),None,556,Democratic values,"Knowledge, attitudes, & values",,Grades 3–5,False,1265,683,582,5,5,0.13,0.03,0.57,0.57,0.18,0.175334396176543,7,,0.00156914207527292,,,True,,,Student,
87,50142,Character Education,103,Caring School Community (CSC),None,549,Acceptance of outgroups,"Knowledge, attitudes, & values",,Grades 3–5,False,1265,683,582,5,5,0.04,0,0.42,0.47,0.09,0.090097226300118,4,,0.111676094342007,,,False,,,Student,
88,50142,Character Education,103,Caring School Community (CSC),None,584,Outgroups discrepancy score (deviation from friend),"Knowledge, attitudes, & values",,Grades 3–5,False,1265,683,582,5,5,0.02,-0.09,0.48,0.52,0.22,0.220398645952895,9,,0.000118817879444788,,,True,,,Student,
89,50142,Character Education,103,Caring School Community (CSC),None,553,Concern for others,"Knowledge, attitudes, & values",,Grades 4–5,False,568,304,264,5,5,0.02,-0.08,0.85,0.83,0.12,0.118781499089776,5,,0.154788465184185,,,False,,,Student,
90,50142,Character Education,103,Caring School Community (CSC),None,559,Enjoyment of helping others learn others learn,"Knowledge, attitudes, & values",,Grades 4–5,False,568,304,264,5,5,-0.04,-0.08,0.85,0.85,0.05,0.0469964388760365,2,,0.552733003633122,,,False,,,Student,
91,50142,Character Education,103,Caring School Community (CSC),None,611,Social competence,"Knowledge, attitudes, & values",,Grades 4–5,False,568,304,264,5,5,-0.06,-0.08,0.64,0.71,0.03,0.0296592438539904,1,,0.721639187836532,,,False,,,Student,
92,50142,Character Education,103,Caring School Community (CSC),None,568,General self-esteem,"Knowledge, attitudes, & values",,Grades 4–5,False,568,304,264,5,5,0.01,-0.02,0.99,1.01,0.03,0.0299799244820464,1,,0.721639187836532,,,False,,,Student,
93,50142,Character Education,103,Caring School Community (CSC),None,555,Conflict resolution skills,"Knowledge, attitudes, & values",,Grades 3–6,False,1986,1086,900,5,5,0.3,0.07,1.04,1.04,0.22,0.221070234113712,9,,1.72122694863663E-06,,,True,,,Student,
94,50142,Character Education,103,Caring School Community (CSC),None,608,Sense of efficacy,"Knowledge, attitudes, & values",,Grades 3–6,False,1986,1086,900,5,5,0.19,0.13,0.67,0.73,0.09,0.0859486907792859,4,,0.0467730314303488,,,False,,,Student,
95,50142,Character Education,103,Caring School Community (CSC),None,607,Sense of community,"Knowledge, attitudes, & values",,Grades 3–6,False,1986,1086,900,5,5,0.09,-0.2,0.62,0.59,0.48,0.477901558259728,18,,0,,,True,,,Student,
97,50135,Character Education,103,Caring School Community (CSC),Unknown,15,California Achievement Test (CAT),Academic achievement,,Grade 4,False,339,173,166,,,712.16,712.36,,,-0.02,,-1,,0.85407484832934,,,False,,,Student,
98,50135,Character Education,103,Caring School Community (CSC),Unknown,55,Holistic measure of reading comprehension,Academic achievement,,Grade 6,False,236,137,99,,,51.43,48.02,9.82,9.96,0.34,0.34407350901999,13,,0.0105623442019019,,,True,,,Student,
100,50142,Character Education,103,Caring School Community (CSC),None,56,Inductive reasoning,Academic achievement,,Grades 5–6,False,643,348,295,5,5,2,1.51,,,0.03,,1,,0.704905988865299,,,False,,,Student,
101,50142,Character Education,103,Caring School Community (CSC),None,87,SAT-9,Academic achievement,,Grade 1-5: Southeastern district,False,2675,1260,1415,2,2,1.38,4.69,,,-0.21,,-8,,1.21675506337127E-07,,,True,,,Student,
102,50142,Character Education,103,Caring School Community (CSC),None,102,SRA Achievement Series,Academic achievement,,Grades 2-6: West Coast district,False,1044,580,464,2,2,-1.52,-0.7,,,-0.04,,-2,,0.521221849099739,,,False,,,Student,
103,50142,Character Education,103,Caring School Community (CSC),None,109,State-developed test,Academic achievement,,Grade 3: Southern district,False,351,201,150,2,2,0.22,-0.03,,,0.42,,16,,0.000122256732736248,,,True,,,Student,
105,50129,Character Education,102,Building Decision Skills,None,560,Ethical awareness,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,2.25,1.85,,,0.56,,21,,4.04259724762213E-06,,,True,,Evidence Tier 3,Student,
106,50129,Character Education,102,Building Decision Skills,None,562,Ethical responsibility,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,2.22,1.97,,,0.33,,13,,0.00596447041598303,,,True,,Evidence Tier 3,Student,
107,50129,Character Education,102,Building Decision Skills,None,561,Ethical perspective,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,1.84,1.31,,,0.84,,30,,1.36384237237053E-11,,,True,,Evidence Tier 3,Student,
108,50129,Character Education,102,Building Decision Skills,None,606,Self-esteem,"Knowledge, attitudes, & values",,Grade 12,False,278,139,139,3,3,35.03,34.57,5.76,6.44,0.07,0.0750881847773515,3,,0.559986777574199,,,False,,,Student,
109,50129,Character Education,102,Building Decision Skills,None,613,Social responsibility: General,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,26.52,26.16,3.18,4.13,0.09,0.0974119824966484,4,,0.450474952363908,,,False,,,Student,
110,50129,Character Education,102,Building Decision Skills,None,614,Social responsibility: School,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,10.89,9.7,2.13,3.06,0.42,0.450174464113328,16,,0.000491587216095213,,,True,,Evidence Tier 3,Student,
111,50129,Character Education,102,Building Decision Skills,None,550,Anticipated community participation,"Knowledge, attitudes, & values",,Grade 12,False,278,139,139,3,3,16.19,15.52,2.76,3.16,0.22,0.225222181959849,9,,0.0677167683348919,,,False,,,Student,
113,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,268,Ethical Conduct,Behavior,posttest,Grades 1-3,False,485,266,219,,,67.93,69.09,11.54,14.1,-0.09,-0.0907735377757544,-4,,0.32475236455638,,,False,,,Student,
115,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,268,Ethical Conduct,Behavior,posttest,Grades 4-6,False,385,216,169,,,64.48,63.2,12.79,12.54,0.1,0.10074104966565,4,,0.330973627855329,,,False,,,Student,
117,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,564,Ethical understanding,"Knowledge, attitudes, & values",posttest,Grades 1-3,False,482,197,285,,,23.35,22.75,2.01,1.93,0.31,0.305167365235032,12,,0.000924979607568432,,,True,,Evidence Tier 3,Student,
118,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,566,Ethnocentrism,"Knowledge, attitudes, & values",posttest,Grades 1-3,False,447,186,261,,,28.1,33.97,24.58,25.54,0.23,0.233049095,9,,0.0171459511065922,,,True,,Evidence Tier 3,Student,
119,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,563,Ethical Sensibility,"Knowledge, attitudes, & values",posttest,Grades 1-3,False,479,197,282,,,51.84,52.18,6.87,6.34,-0.05,-0.0517243936533711,-2,,0.590653275566666,,,False,,,Student,
121,50131,Character Education,117,Heartwood Ethics Curriculum/An Ethics Curriculum for Children,unknown,563,Ethical Sensibility,"Knowledge, attitudes, & values",posttest,Grades 4-6,False,369,210,159,,,75.09,77.3,11.57,10.3,0.2,-0.199750721187148,8,,0.0580630041971667,,,False,,,Student,
122,33592,Adolescent Literacy,464,Fast ForWord®,Business as usual,643,Clinical Evaluation of Language Fundamentals- Third Edition (CELF-3): Receptive Language,Literacy Achievement,Posttest,grades 3-6,False,86,43,43,,,31.7,31.01,18.43,16.59,0.04,0.0389993699354483,2,,0.853300420318359,,,False,,,Student,
123,33592,Adolescent Literacy,464,Fast ForWord®,Business as usual,656,State Standardized Reading Test,Literacy Achievement,Posttest,grades 3-6,False,454,237,217,,,44.18,43.03,24.79,24.01,0.05,0.047013660970911,2,,0.595005769902934,,,False,,,Student,
125,52546,Adolescent Literacy,729,Reading Mastery,Business as usual,1533,Riverside Publishing Off Grade Reading Proficiency Test,Comprehension,"spring 1999, end of 5th grade, 2 years of DI",Grade 4,False,142,71,71,,,209.01,205.46,20.16,18.42,0.18,0.18285963845156,7,,0.285339432534445,,,False,,,Student,
126,52546,Adolescent Literacy,729,Reading Mastery,Business as usual,1551,State Reading Proficiency Test,Comprehension,"spring 1999, end of 6th grade, 2 years of DI",Grade 5,False,162,81,81,,,201.15,213.8,25.3,23.42,-0.52,-0.516471549082229,-20,,0.00115426798782692,,,True,,,Student,
128,50540,Beginning Reading,210,Accelerated Reader,Business as usual,1549,STAR Reading Test,Comprehension,,Grade 3 - Grade 3,True,,89,89,,,389.5,336.8,139.6,198.3,0.31,0.306012284735698,12,,0.040098536630518,,,True,,,Student,
130,50374,Character Education,186,Facing History and Ourselves,business as usual,293,Self-reported fighting,Behavior,,Grade 8,False,346,212,134,14,8,1.64,2.24,2.41,3.75,0.2,0.199569386,8,,0.0709509651317465,,,False,,,Student,
132,50374,Character Education,186,Facing History and Ourselves,business as usual,602,Relationship maturity (best response score),"Knowledge, attitudes, & values",,Grade 8,False,346,212,134,14,8,2.22,2.07,0.3,0.38,0.45,0.449176988733874,17,,5.83680690949828E-05,,,True,,Evidence Tier 3,Student,
